Ref,Val,Package,PosX,PosY,Rot,Side
"LED01","C5378731","led_SK6812mini-e (per-key, single-side)",176.208913,-89.090143,177.000000,bottom
"LED02","C5378731","led_SK6812mini-e (per-key, single-side)",153.928334,-87.110046,178.000000,bottom
"LED03","C5378731","led_SK6812mini-e (per-key, single-side)",131.975997,-85.709926,179.000000,bottom
"LED04","C5378731","led_SK6812mini-e (per-key, single-side)",110.002567,-84.693140,180.000000,bottom
"LED05","C5378731","led_SK6812mini-e (per-key, single-side)",88.049643,-86.059694,-179.000000,bottom
"LED06","C5378731","led_SK6812mini-e (per-key, single-side)",66.123913,-87.809172,-178.000000,bottom
"LED07","C5378731","led_SK6812mini-e (per-key, single-side)",43.876034,-90.138108,-177.000000,bottom
"LED08","C5378731","led_SK6812mini-e (per-key, single-side)",44.977706,-111.159260,3.000000,bottom
"LED09","C5378731","led_SK6812mini-e (per-key, single-side)",66.858547,-108.846348,2.000000,bottom
"LED10","C5378731","led_SK6812mini-e (per-key, single-side)",88.417016,-107.106488,1.000000,bottom
"LED11","C5378731","led_SK6812mini-e (per-key, single-side)",110.002567,-105.743140,0.000000,bottom
"LED12","C5378731","led_SK6812mini-e (per-key, single-side)",131.608623,-106.756720,-1.000000,bottom
"LED13","C5378731","led_SK6812mini-e (per-key, single-side)",153.193700,-108.147223,-2.000000,bottom
"LED14","C5378731","led_SK6812mini-e (per-key, single-side)",175.107241,-110.111294,-3.000000,bottom
"LED15","C5378731","led_SK6812mini-e (per-key, single-side)",174.005570,-131.132446,177.000000,bottom
"LED16","C5378731","led_SK6812mini-e (per-key, single-side)",152.459065,-129.184400,178.000000,bottom
"LED17","C5378731","led_SK6812mini-e (per-key, single-side)",131.241250,-127.803514,179.000000,bottom
"LED18","C5378731","led_SK6812mini-e (per-key, single-side)",110.002567,-126.793140,180.000000,bottom
"LED19","C5378731","led_SK6812mini-e (per-key, single-side)",88.784389,-128.153282,-179.000000,bottom
"LED20","C5378731","led_SK6812mini-e (per-key, single-side)",67.593181,-129.883525,-178.000000,bottom
"LED21","C5378731","led_SK6812mini-e (per-key, single-side)",46.079378,-132.180411,-177.000000,bottom
"LED22","C5378731","led_SK6812mini-e (per-key, single-side)",47.181049,-153.201563,3.000000,bottom
"LED23","C5378731","led_SK6812mini-e (per-key, single-side)",68.327816,-150.920702,2.000000,bottom
"LED24","C5378731","led_SK6812mini-e (per-key, single-side)",89.151762,-149.200076,1.000000,bottom
"LED25","C5378731","led_SK6812mini-e (per-key, single-side)",110.002567,-147.843140,0.000000,bottom
"LED26","C5378731","led_SK6812mini-e (per-key, single-side)",130.873877,-148.850308,-1.000000,bottom
"LED27","C5378731","led_SK6812mini-e (per-key, single-side)",151.724431,-150.221577,-2.000000,bottom
"LED28","C5378731","led_SK6812mini-e (per-key, single-side)",172.903898,-152.153598,-3.000000,bottom
"LED29","C5378731","led_SK6812mini-e (per-key, single-side)",171.802226,-173.174750,177.000000,bottom
"LED30","C5378731","led_SK6812mini-e (per-key, single-side)",150.989796,-171.258753,178.000000,bottom
"LED31","C5378731","led_SK6812mini-e (per-key, single-side)",130.506504,-169.897102,179.000000,bottom
"LED32","C5378731","led_SK6812mini-e (per-key, single-side)",110.002567,-168.893140,180.000000,bottom
"LED33","C5378731","led_SK6812mini-e (per-key, single-side)",89.519136,-170.246870,-179.000000,bottom
"LED34","C5378731","led_SK6812mini-e (per-key, single-side)",69.062450,-171.957879,-178.000000,bottom
"LED35","C5378731","led_SK6812mini-e (per-key, single-side)",48.282721,-174.222715,-177.000000,bottom
"LED36","C5378731","led_SK6812mini-e (per-key, single-side)",59.665269,-194.527414,4.000000,bottom
"LED37","C5378731","led_SK6812mini-e (per-key, single-side)",89.886509,-191.293664,1.000000,bottom
"LED38","C5378731","led_SK6812mini-e (per-key, single-side)",110.002567,-189.943140,0.000000,bottom
"LED39","C5378731","led_SK6812mini-e (per-key, single-side)",130.139131,-190.943896,-1.000000,bottom
"LED40","C5378731","led_SK6812mini-e (per-key, single-side)",160.419678,-193.479449,-4.000000,bottom
