Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C10,C710467,C_1206_3216Metric,83.312757,-86.852485,269.0,bottom
C11,C710467,C_1206_3216Metric,105.252567,-169.60314,270.0,bottom
C12,C710467,C_1206_3216Metric,105.252567,-127.50314,270.0,bottom
C13,C710467,C_1206_3216Metric,105.252567,-85.40314,270.0,bottom
C14,C710467,C_1206_3216Metric,125.744836,-170.524095,271.0,bottom
C15,C710467,C_1206_3216Metric,126.479583,-128.430507,271.0,bottom
C16,C710467,C_1206_3216Metric,127.214329,-86.336919,271.0,bottom
C17,C710467,C_1206_3216Metric,146.217911,-171.802548,272.0,bottom
C18,C710467,C_1206_3216Metric,147.68718,-129.728195,272.0,bottom
C19,C710467,C_1206_3216Metric,149.156449,-87.653841,272.0,bottom
C2,C710467,C_1206_3216Metric,43.57639,-175.180338,267.0,bottom
C20,C710467,C_1206_3216Metric,167.021577,-173.635181,273.0,bottom
C21,C710467,C_1206_3216Metric,169.224921,-131.592877,273.0,bottom
C22,C710467,C_1206_3216Metric,171.428265,-89.550574,273.0,bottom
C23,C710467,C_1206_3216Metric,64.355566,-193.507752,86.0,bottom
C24,C710467,C_1206_3216Metric,51.888428,-152.263913,87.0,bottom
C25,C710467,C_1206_3216Metric,49.685084,-110.22161,87.0,bottom
C26,C710467,C_1206_3216Metric,73.050842,-150.06535,88.0,bottom
C27,C710467,C_1206_3216Metric,71.581573,-107.990996,88.0,bottom
C28,C710467,C_1206_3216Metric,94.623743,-190.52087,89.0,bottom
C29,C710467,C_1206_3216Metric,93.888997,-148.427282,89.0,bottom
C3,C710467,C_1206_3216Metric,41.373046,-133.138034,267.0,bottom
C30,C710467,C_1206_3216Metric,93.15425,-106.333694,89.0,bottom
C31,C710467,C_1206_3216Metric,114.752567,-189.25314,90.0,bottom
C32,C710467,C_1206_3216Metric,114.752567,-147.15314,90.0,bottom
C33,C710467,C_1206_3216Metric,114.752567,-105.05314,90.0,bottom
C34,C710467,C_1206_3216Metric,134.900449,-190.3369,91.0,bottom
C35,C710467,C_1206_3216Metric,135.635196,-148.243312,91.0,bottom
C36,C710467,C_1206_3216Metric,136.369942,-106.149724,91.0,bottom
C37,C710467,C_1206_3216Metric,156.495618,-149.697769,92.0,bottom
C38,C710467,C_1206_3216Metric,157.964887,-107.623416,92.0,bottom
C39,C710467,C_1206_3216Metric,165.206239,-193.122473,94.0,bottom
C4,C710467,C_1206_3216Metric,39.169702,-91.095731,267.0,bottom
C40,C710467,C_1206_3216Metric,177.6835,-151.713139,93.0,bottom
C41,C710467,C_1206_3216Metric,179.886844,-109.670836,93.0,bottom
C5,C710467,C_1206_3216Metric,64.340122,-172.833219,268.0,bottom
C6,C710467,C_1206_3216Metric,62.870854,-130.758865,268.0,bottom
C7,C710467,C_1206_3216Metric,61.401585,-88.684512,268.0,bottom
C8,C710467,C_1206_3216Metric,84.78225,-171.039661,269.0,bottom
C9,C710467,C_1206_3216Metric,84.047504,-128.946073,269.0,bottom
D1,C7420318,D_1206_3216Metric,54.595612,-208.399848,86.0,bottom
D10,C7420318,D_1206_3216Metric,61.307837,-122.533403,88.0,bottom
D11,C7420318,D_1206_3216Metric,60.573203,-101.496226,88.0,bottom
D12,C7420318,D_1206_3216Metric,84.097772,-204.881761,89.0,bottom
D13,C7420318,D_1206_3216Metric,83.730399,-183.834967,89.0,bottom
D14,C7420318,D_1206_3216Metric,83.363026,-162.788173,89.0,bottom
D15,C7420318,D_1206_3216Metric,82.995653,-141.741379,89.0,bottom
D16,C7420318,D_1206_3216Metric,82.628279,-120.694585,89.0,bottom
D17,C7420318,D_1206_3216Metric,82.260906,-99.647791,89.0,bottom
D18,C7420318,D_1206_3216Metric,103.977567,-203.42814,90.0,bottom
D19,C7420318,D_1206_3216Metric,103.977567,-182.37814,90.0,bottom
D2,C7420318,D_1206_3216Metric,42.971729,-188.004558,87.0,bottom
D20,C7420318,D_1206_3216Metric,103.977567,-161.32814,90.0,bottom
D21,C7420318,D_1206_3216Metric,103.977567,-140.27814,90.0,bottom
D22,C7420318,D_1206_3216Metric,103.977567,-119.22814,90.0,bottom
D23,C7420318,D_1206_3216Metric,103.977567,-98.17814,90.0,bottom
D24,C7420318,D_1206_3216Metric,123.879703,-204.321691,91.0,bottom
D25,C7420318,D_1206_3216Metric,124.247076,-183.274897,91.0,bottom
D26,C7420318,D_1206_3216Metric,124.614449,-162.228103,91.0,bottom
D27,C7420318,D_1206_3216Metric,124.981822,-141.181309,91.0,bottom
D28,C7420318,D_1206_3216Metric,125.349195,-120.134515,91.0,bottom
D29,C7420318,D_1206_3216Metric,125.716569,-99.087721,91.0,bottom
D3,C7420318,D_1206_3216Metric,41.870057,-166.983407,87.0,bottom
D30,C7420318,D_1206_3216Metric,144.497847,-184.525269,92.0,bottom
D31,C7420318,D_1206_3216Metric,145.232481,-163.488092,92.0,bottom
D32,C7420318,D_1206_3216Metric,145.967116,-142.450915,92.0,bottom
D33,C7420318,D_1206_3216Metric,146.70175,-121.413739,92.0,bottom
D34,C7420318,D_1206_3216Metric,147.436385,-100.376562,92.0,bottom
D35,C7420318,D_1206_3216Metric,153.468689,-206.511318,94.0,bottom
D36,C7420318,D_1206_3216Metric,165.079732,-186.325945,93.0,bottom
D37,C7420318,D_1206_3216Metric,166.181404,-165.304793,93.0,bottom
D38,C7420318,D_1206_3216Metric,167.283076,-144.283641,93.0,bottom
D39,C7420318,D_1206_3216Metric,168.384748,-123.26249,93.0,bottom
D4,C7420318,D_1206_3216Metric,40.768385,-145.962255,87.0,bottom
D40,C7420318,D_1206_3216Metric,169.48642,-102.241338,93.0,bottom
D5,C7420318,D_1206_3216Metric,39.666713,-124.941103,87.0,bottom
D6,C7420318,D_1206_3216Metric,38.565041,-103.919951,87.0,bottom
D7,C7420318,D_1206_3216Metric,63.51174,-185.644934,88.0,bottom
D8,C7420318,D_1206_3216Metric,62.777106,-164.607757,88.0,bottom
D9,C7420318,D_1206_3216Metric,62.042471,-143.57058,88.0,bottom
LED01,C5378731,"led_SK6812mini-e (per-key, single-side)",176.208913,-89.090143,3.0,bottom
LED02,C5378731,"led_SK6812mini-e (per-key, single-side)",153.928334,-87.110046,2.0,bottom
LED03,C5378731,"led_SK6812mini-e (per-key, single-side)",131.975997,-85.709926,1.0,bottom
LED04,C5378731,"led_SK6812mini-e (per-key, single-side)",110.002567,-84.69314,0.0,bottom
LED05,C5378731,"led_SK6812mini-e (per-key, single-side)",88.049643,-86.059694,359.0,bottom
LED06,C5378731,"led_SK6812mini-e (per-key, single-side)",66.123913,-87.809172,358.0,bottom
LED07,C5378731,"led_SK6812mini-e (per-key, single-side)",43.876034,-90.138108,357.0,bottom
LED08,C5378731,"led_SK6812mini-e (per-key, single-side)",44.977706,-111.15926,177.0,bottom
LED09,C5378731,"led_SK6812mini-e (per-key, single-side)",66.858547,-108.846348,178.0,bottom
LED10,C5378731,"led_SK6812mini-e (per-key, single-side)",88.417016,-107.106488,179.0,bottom
LED11,C5378731,"led_SK6812mini-e (per-key, single-side)",110.002567,-105.74314,180.0,bottom
LED12,C5378731,"led_SK6812mini-e (per-key, single-side)",131.608623,-106.75672,181.0,bottom
LED13,C5378731,"led_SK6812mini-e (per-key, single-side)",153.1937,-108.147223,182.0,bottom
LED14,C5378731,"led_SK6812mini-e (per-key, single-side)",175.107241,-110.111294,183.0,bottom
LED15,C5378731,"led_SK6812mini-e (per-key, single-side)",174.00557,-131.132446,3.0,bottom
LED16,C5378731,"led_SK6812mini-e (per-key, single-side)",152.459065,-129.1844,2.0,bottom
LED17,C5378731,"led_SK6812mini-e (per-key, single-side)",131.24125,-127.803514,1.0,bottom
LED18,C5378731,"led_SK6812mini-e (per-key, single-side)",110.002567,-126.79314,0.0,bottom
LED19,C5378731,"led_SK6812mini-e (per-key, single-side)",88.784389,-128.153282,359.0,bottom
LED20,C5378731,"led_SK6812mini-e (per-key, single-side)",67.593181,-129.883525,358.0,bottom
LED21,C5378731,"led_SK6812mini-e (per-key, single-side)",46.079378,-132.180411,357.0,bottom
LED22,C5378731,"led_SK6812mini-e (per-key, single-side)",47.181049,-153.201563,177.0,bottom
LED23,C5378731,"led_SK6812mini-e (per-key, single-side)",68.327816,-150.920702,178.0,bottom
LED24,C5378731,"led_SK6812mini-e (per-key, single-side)",89.151762,-149.200076,179.0,bottom
LED25,C5378731,"led_SK6812mini-e (per-key, single-side)",110.002567,-147.84314,180.0,bottom
LED26,C5378731,"led_SK6812mini-e (per-key, single-side)",130.873877,-148.850308,181.0,bottom
LED27,C5378731,"led_SK6812mini-e (per-key, single-side)",151.724431,-150.221577,182.0,bottom
LED28,C5378731,"led_SK6812mini-e (per-key, single-side)",172.903898,-152.153598,183.0,bottom
LED29,C5378731,"led_SK6812mini-e (per-key, single-side)",171.802226,-173.17475,3.0,bottom
LED30,C5378731,"led_SK6812mini-e (per-key, single-side)",150.989796,-171.258753,2.0,bottom
LED31,C5378731,"led_SK6812mini-e (per-key, single-side)",130.506504,-169.897102,1.0,bottom
LED32,C5378731,"led_SK6812mini-e (per-key, single-side)",110.002567,-168.89314,0.0,bottom
LED33,C5378731,"led_SK6812mini-e (per-key, single-side)",89.519136,-170.24687,359.0,bottom
LED34,C5378731,"led_SK6812mini-e (per-key, single-side)",69.06245,-171.957879,358.0,bottom
LED35,C5378731,"led_SK6812mini-e (per-key, single-side)",48.282721,-174.222715,357.0,bottom
LED36,C5378731,"led_SK6812mini-e (per-key, single-side)",59.665269,-194.527414,176.0,bottom
LED37,C5378731,"led_SK6812mini-e (per-key, single-side)",89.886509,-191.293664,179.0,bottom
LED38,C5378731,"led_SK6812mini-e (per-key, single-side)",110.002567,-189.94314,180.0,bottom
LED39,C5378731,"led_SK6812mini-e (per-key, single-side)",130.139131,-190.943896,181.0,bottom
LED40,C5378731,"led_SK6812mini-e (per-key, single-side)",160.419678,-193.479449,184.0,bottom
S1,C41430893,switch_mx,60.897019,-201.855851,356.0,bottom
S10,C41430893,switch_mx,67.785737,-116.111102,358.0,bottom
S11,C41430893,switch_mx,67.051102,-95.073925,358.0,bottom
