Designator,Mid X,Mid Y,Rotation,Layer
C1,179.57374094530368,-72.65371908155679,87.0,top
C10,83.312757,-86.852485,269.0,bottom
C11,105.252567,-169.60314,270.0,bottom
C12,105.252567,-127.50314,270.0,bottom
C13,105.252567,-85.40314,270.0,bottom
C14,125.744836,-170.524095,271.0,bottom
C15,126.479583,-128.430507,271.0,bottom
C16,127.214329,-86.336919,271.0,bottom
C17,146.217911,-171.802548,272.0,bottom
C18,147.68718,-129.728195,272.0,bottom
C19,149.156449,-87.653841,272.0,bottom
C2,43.57639,-175.180338,267.0,bottom
C20,167.021577,-173.635181,273.0,bottom
C21,169.224921,-131.592877,273.0,bottom
C22,171.428265,-89.550574,273.0,bottom
C23,64.355566,-193.507752,86.0,bottom
C24,51.888428,-152.263913,87.0,bottom
C25,49.685084,-110.22161,87.0,bottom
C26,73.050842,-150.06535,88.0,bottom
C27,71.581573,-107.990996,88.0,bottom
C28,94.623743,-190.52087,89.0,bottom
C29,93.888997,-148.427282,89.0,bottom
C3,41.373046,-133.138034,267.0,bottom
C30,93.15425,-106.333694,89.0,bottom
C31,114.752567,-189.25314,90.0,bottom
C32,114.752567,-147.15314,90.0,bottom
C33,114.752567,-105.05314,90.0,bottom
C34,134.900449,-190.3369,91.0,bottom
C35,135.635196,-148.243312,91.0,bottom
C36,136.369942,-106.149724,91.0,bottom
C37,156.495618,-149.697769,92.0,bottom
C38,157.964887,-107.623416,92.0,bottom
C39,165.206239,-193.122473,94.0,bottom
C4,39.169702,-91.095731,267.0,bottom
C40,177.6835,-151.713139,93.0,bottom
C41,179.886844,-109.670836,93.0,bottom
C5,64.340122,-172.833219,268.0,bottom
C6,62.870854,-130.758865,268.0,bottom
C7,61.401585,-88.684512,268.0,bottom
C8,84.78225,-171.039661,269.0,bottom
C9,84.047504,-128.946073,269.0,bottom
D1,54.595612,-208.399848,86.0,bottom
D10,61.307837,-122.533403,88.0,bottom
D11,60.573203,-101.496226,88.0,bottom
D12,84.097772,-204.881761,89.0,bottom
D13,83.730399,-183.834967,89.0,bottom
D14,83.363026,-162.788173,89.0,bottom
D15,82.995653,-141.741379,89.0,bottom
D16,82.628279,-120.694585,89.0,bottom
D17,82.260906,-99.647791,89.0,bottom
D18,103.977567,-203.42814,90.0,bottom
D19,103.977567,-182.37814,90.0,bottom
D2,42.971729,-188.004558,87.0,bottom
D20,103.977567,-161.32814,90.0,bottom
D21,103.977567,-140.27814,90.0,bottom
D22,103.977567,-119.22814,90.0,bottom
D23,103.977567,-98.17814,90.0,bottom
D24,123.879703,-204.321691,91.0,bottom
D25,124.247076,-183.274897,91.0,bottom
D26,124.614449,-162.228103,91.0,bottom
D27,124.981822,-141.181309,91.0,bottom
D28,125.349195,-120.134515,91.0,bottom
D29,125.716569,-99.087721,91.0,bottom
D3,41.870057,-166.983407,87.0,bottom
D30,144.497847,-184.525269,92.0,bottom
D31,145.232481,-163.488092,92.0,bottom
D32,145.967116,-142.450915,92.0,bottom
D33,146.70175,-121.413739,92.0,bottom
D34,147.436385,-100.376562,92.0,bottom
D35,153.468689,-206.511318,94.0,bottom
D36,165.079732,-186.325945,93.0,bottom
D37,166.181404,-165.304793,93.0,bottom
D38,167.283076,-144.283641,93.0,bottom
D39,168.384748,-123.26249,93.0,bottom
D4,40.768385,-145.962255,87.0,bottom
D40,169.48642,-102.241338,93.0,bottom
D5,39.666713,-124.941103,87.0,bottom
D6,38.565041,-103.919951,87.0,bottom
D7,63.51174,-185.644934,88.0,bottom
D8,62.777106,-164.607757,88.0,bottom
D9,62.042471,-143.57058,88.0,bottom
HOLE1,30.713782,-63.976113,3.0,top
HOLE2,110.002567,-64.62814,0.0,top
HOLE3,188.585064,-73.151016,357.0,top
HOLE4,188.282148,-222.228067,356.0,top
HOLE5,110.002567,-213.05939,0.0,top
HOLE6,31.8028,-223.276032,4.0,top
LED01,176.208913,-89.090143,3.0,bottom
LED02,153.928334,-87.110046,2.0,bottom
LED03,131.975997,-85.709926,1.0,bottom
LED04,110.002567,-84.69314,0.0,bottom
LED05,88.049643,-86.059694,359.0,bottom
LED06,66.123913,-87.809172,358.0,bottom
LED07,43.876034,-90.138108,357.0,bottom
LED08,44.977706,-111.15926,177.0,bottom
LED09,66.858547,-108.846348,178.0,bottom
LED10,88.417016,-107.106488,179.0,bottom
LED11,110.002567,-105.74314,180.0,bottom
LED12,131.608623,-106.75672,181.0,bottom
LED13,153.1937,-108.147223,182.0,bottom
LED14,175.107241,-110.111294,183.0,bottom
LED15,174.00557,-131.132446,3.0,bottom
LED16,152.459065,-129.1844,2.0,bottom
LED17,131.24125,-127.803514,1.0,bottom
LED18,110.002567,-126.79314,0.0,bottom
LED19,88.784389,-128.153282,359.0,bottom
LED20,67.593181,-129.883525,358.0,bottom
LED21,46.079378,-132.180411,357.0,bottom
LED22,47.181049,-153.201563,177.0,bottom
LED23,68.327816,-150.920702,178.0,bottom
LED24,89.151762,-149.200076,179.0,bottom
LED25,110.002567,-147.84314,180.0,bottom
LED26,130.873877,-148.850308,181.0,bottom
LED27,151.724431,-150.221577,182.0,bottom
LED28,172.903898,-152.153598,183.0,bottom
LED29,171.802226,-173.17475,3.0,bottom
LED30,150.989796,-171.258753,2.0,bottom
LED31,130.506504,-169.897102,1.0,bottom
LED32,110.002567,-168.89314,0.0,bottom
LED33,89.519136,-170.24687,359.0,bottom
LED34,69.06245,-171.957879,358.0,bottom
LED35,48.282721,-174.222715,357.0,bottom
LED36,59.665269,-194.527414,176.0,bottom
LED37,89.886509,-191.293664,179.0,bottom
LED38,110.002567,-189.94314,180.0,bottom
LED39,130.139131,-190.943896,181.0,bottom
LED40,160.419678,-193.479449,184.0,bottom
MCU1,174.85022350913832,-72.40616966442853,267.0,top
OLED1,31.436294993285614,-72.98564652741493,3.0,top
