Ref,Val,Package,PosX,PosY,Rot,Side
"C1","6.3V 1000uF","C_Radial_D6.3mm_H11.0mm_P2.50mm",179.508321,-73.902006,87.000000,top
"HOLE1","","MountingHole_2.2mm_M2_Pad_Via",30.713782,-63.976113,3.000000,top
"HOLE2","","MountingHole_2.2mm_M2_Pad_Via",110.002567,-64.628140,0.000000,top
"HOLE3","","MountingHole_2.2mm_M2_Pad_Via",188.585064,-73.151016,-3.000000,top
"HOLE4","","MountingHole_2.2mm_M2_Pad_Via",188.282148,-222.228067,-4.000000,top
"HOLE5","","MountingHole_2.2mm_M2_Pad_Via",110.002567,-213.059390,0.000000,top
"HOLE6","","MountingHole_2.2mm_M2_Pad_Via",31.802800,-223.276032,4.000000,top
"MCU1","RP2040 Pro Micro","RP2040_Pro_Micro",173.581964,-72.339703,-93.000000,top
"OLED1","I2C_Breakout","I2C_Breakout",31.236895,-69.180868,3.000000,top
"OLED2","I2C_Breakout","I2C_Breakout",62.069669,-80.881442,92.000000,top
"OLED3","I2C_Breakout","I2C_Breakout",68.986164,-60.602707,-85.000000,top
"OLED4","I2C_Breakout","I2C_Breakout",106.192567,-77.628140,90.000000,top
"OLED5","I2C_Breakout","I2C_Breakout",113.812567,-57.603140,-90.000000,top
"S1","C41430893","MX",60.011261,-199.475332,-176.000000,top
"S2","C41430893","MX",48.542308,-179.175917,-177.000000,top
"S3","C41430893","MX",47.440636,-158.154766,-177.000000,top
"S4","C41430893","MX",46.338964,-137.133614,-177.000000,top
"S5","C41430893","MX",45.237292,-116.112462,-177.000000,top
"S6","C41430893","MX",44.135620,-95.091311,-177.000000,top
"S7","C41430893","MX",69.235552,-176.914858,-178.000000,top
"S8","C41430893","MX",68.500917,-155.877681,-178.000000,top
"S9","C41430893","MX",67.766283,-134.840504,-178.000000,top
"S10","C41430893","MX",67.031649,-113.803327,-178.000000,top
"S11","C41430893","MX",66.297014,-92.766150,-178.000000,top
"S12","C41430893","MX",89.973073,-196.252909,-179.000000,top
"S13","C41430893","MX",89.605700,-175.206115,-179.000000,top
"S14","C41430893","MX",89.238326,-154.159321,-179.000000,top
"S15","C41430893","MX",88.870953,-133.112527,-179.000000,top
"S16","C41430893","MX",88.503580,-112.065733,-179.000000,top
"S17","C41430893","MX",88.136207,-91.018939,-179.000000,top
"S18","C41430893","MX",110.002567,-194.903140,180.000000,top
"S19","C41430893","MX",110.002567,-173.853140,180.000000,top
"S20","C41430893","MX",110.002567,-152.803140,180.000000,top
"S21","C41430893","MX",110.002567,-131.753140,180.000000,top
"S22","C41430893","MX",110.002567,-110.703140,180.000000,top
"S23","C41430893","MX",110.002567,-89.653140,180.000000,top
"S24","C41430893","MX",130.052567,-195.903140,179.000000,top
"S25","C41430893","MX",130.419940,-174.856346,179.000000,top
"S26","C41430893","MX",130.787313,-153.809552,179.000000,top
"S27","C41430893","MX",131.154686,-132.762758,179.000000,top
"S28","C41430893","MX",131.522060,-111.715964,179.000000,top
"S29","C41430893","MX",131.889433,-90.669170,179.000000,top
"S30","C41430893","MX",150.816695,-176.215732,178.000000,top
"S31","C41430893","MX",151.551329,-155.178555,178.000000,top
"S32","C41430893","MX",152.285964,-134.141378,178.000000,top
"S33","C41430893","MX",153.020598,-113.104201,178.000000,top
"S34","C41430893","MX",153.755233,-92.067024,178.000000,top
"S35","C41430893","MX",160.073686,-198.427367,176.000000,top
"S36","C41430893","MX",171.542639,-178.127952,177.000000,top
"S37","C41430893","MX",172.644311,-157.106800,177.000000,top
"S38","C41430893","MX",173.745983,-136.085649,177.000000,top
"S39","C41430893","MX",174.847655,-115.064497,177.000000,top
"S40","C41430893","MX",175.949327,-94.043345,177.000000,top
